ZONA_EOD;N_PERS;N_PERS_VIAJA;N_PERS_NOVIAJA;N_VEH;N_BIC;N_VIAJES_GEN;PROM_Avaluo_SII;H_tipoE;H_tipoD;H_tipoC3;H_tipoC2;H_tipoABC1;N_HOMBRE;N_MUJER;N_EDAD_0A5;N_EDAD_6A14;N_EDAD_15A64;N_EDAD_65YMAS
1;13;11;2;6;4;42;83607403;2;0;2;1;1;4;9;0;0;3;10
2;51;42;9;4;10;164;37139734;12;3;5;1;4;27;24;2;2;43;4
3;32;25;7;0;0;60;27903868;0;0;4;1;7;17;15;4;3;21;4
4;34;26;8;7;4;94;53268106;1;0;3;4;5;14;20;0;0;26;8
5;119;99;20;23;32;346;27105056;3;8;2;10;17;47;72;12;8;83;16
6;29;22;7;2;12;68;27777956;2;2;6;2;0;16;13;2;1;20;6
7;134;111;23;40;42;383;31872202;2;5;10;8;23;61;73;3;9;89;33
8;105;88;17;27;30;356;17991144;8;5;6;7;11;44;61;4;8;72;21
9;156;136;20;46;74;557;25721924;1;2;10;11;24;70;86;6;21;107;22
10;146;120;26;32;59;487;26161230;2;10;11;11;16;67;79;7;10;103;26
11;129;97;32;39;30;366;48421370;12;2;3;4;23;56;73;7;9;86;27
12;329;259;70;69;92;690;21126456;2;12;17;20;49;164;165;17;27;250;35
13;62;51;11;5;13;168;25718911;0;3;7;5;3;30;32;3;8;40;11
14;287;225;62;26;56;643;6647556;6;19;29;20;9;134;153;25;31;202;29
15;166;136;30;15;49;406;7933102112;1;11;19;8;3;87;79;18;26;102;20
16;183;147;36;16;66;406;9952249157;2;10;21;10;5;78;105;15;22;118;28
17;234;188;46;19;73;620;11086464;3;19;25;11;3;113;121;26;22;147;39
18;62;49;13;6;18;202;17226675;4;4;5;4;1;30;32;6;6;43;7
19;92;76;16;9;17;217;13774750;2;10;10;2;3;41;51;6;6;64;16
20;110;76;34;5;33;240;15959501;4;12;13;4;0;48;62;9;10;65;26
21;112;90;22;11;31;268;13347298;7;12;7;7;1;47;65;9;17;71;15
22;70;54;16;8;16;170;9779669451;6;8;6;0;5;36;34;5;5;45;15
23;230;191;39;28;66;461;9235344343;1;14;21;14;10;118;112;30;22;160;18
24;174;129;45;18;31;430;15271068;5;18;20;9;3;69;105;9;13;121;31
25;106;94;12;28;36;350;26071675;2;6;4;8;15;47;59;8;10;83;5
26;94;81;13;9;29;298;10647703;4;15;7;4;1;36;58;5;13;52;24
27;269;212;57;50;72;687;13451357;14;17;16;9;23;127;142;23;28;172;46
28;49;39;10;15;16;147;47909191;1;4;5;4;4;21;28;2;4;29;14
29;58;38;20;4;13;110;12668367;5;4;3;4;1;30;28;4;6;40;8
30;53;41;12;4;15;118;19612978;5;8;4;1;0;24;29;4;5;35;9
31;2;2;0;0;0;8;43991293;0;0;0;1;0;1;1;0;0;2;0
32;31;24;7;12;12;75;35628615;0;0;0;0;9;15;16;8;3;20;0
33;239;203;36;21;73;599;4874473917;9;24;26;8;2;118;121;20;28;165;26
34;147;112;35;10;17;313;6613784813;11;16;9;5;2;71;76;21;17;89;20
35;190;169;21;10;44;533;4446807298;12;16;12;8;0;88;102;17;29;129;15
36;60;52;8;11;16;186;14335329;1;0;3;4;8;32;28;6;6;44;4
37;178;156;22;31;33;495;8005979179;1;8;18;13;8;87;91;16;26;121;15
38;147;124;23;30;25;441;17783493;1;6;14;12;14;74;73;8;20;88;31
39;196;152;44;40;40;447;35439131;2;0;7;16;41;97;99;6;16;126;48
40;167;133;34;47;35;451;28290424;3;6;9;12;29;81;86;9;14;110;34
41;142;123;19;67;72;473;40786585;0;0;1;7;37;65;77;9;25;95;13
42;292;238;54;63;83;689;16354365;0;11;11;20;40;138;154;24;25;214;29
43;63;42;21;7;6;106;10639496;5;3;6;2;3;29;34;6;7;38;12
44;106;85;21;9;31;279;4321111494;6;8;10;5;3;53;53;2;17;70;17
45;35;32;3;5;7;94;13588067;1;4;3;1;2;16;19;1;8;22;4
46;215;180;35;19;50;587;4410688505;5;20;28;9;2;92;123;18;28;149;20
47;20;14;6;8;10;64;141558577;0;0;0;0;4;7;13;0;2;18;0
48;380;336;44;28;79;970;6031438762;11;19;50;18;3;184;196;35;53;273;19
49;34;34;0;11;13;102;7259030;0;0;5;3;2;15;19;2;7;24;1
50;64;57;7;27;33;225;39833925;0;0;1;2;15;35;29;11;11;42;0
51;25;22;3;13;14;101;100847916;0;0;0;0;6;11;14;1;6;16;2
52;243;214;29;32;58;691;4691969714;2;12;25;21;8;113;130;26;37;171;9
53;22;11;11;0;7;25;234046945;3;2;1;0;0;12;10;3;5;12;2
55;19;17;2;6;9;65;41332989;0;0;0;2;9;8;11;2;0;14;3
56;76;61;15;15;25;191;37804092;1;1;5;7;10;35;41;7;6;48;15
57;53;49;4;23;24;196;38032856;1;1;1;3;11;23;30;5;9;32;7
58;45;38;7;20;20;144;42979043;0;0;0;0;12;23;22;4;6;35;0
59;13;13;0;5;3;51;20722012;0;0;0;3;3;7;6;1;1;8;3
60;36;34;2;11;22;133;31143827;0;0;2;3;7;17;19;1;3;27;5
61;41;34;7;13;17;165;34729604;0;0;1;2;9;22;19;1;8;26;6
62;206;162;44;12;50;528;10724171;5;16;20;8;4;96;110;20;30;140;16
63;90;69;21;9;34;206;10113186;8;11;6;5;1;39;51;7;8;58;17
64;408;372;36;61;103;1088;9280549532;3;14;40;36;32;197;211;31;44;314;19
65;91;75;16;11;19;249;12764986;3;8;9;6;5;39;52;3;6;58;24
66;184;148;36;16;21;438;7307613379;6;19;15;10;1;81;103;13;29;124;18
67;36;32;4;4;9;120;9185224463;3;1;3;3;1;15;21;3;2;29;2
68;53;40;13;5;12;127;5200759303;3;5;5;4;1;30;23;2;2;37;12
69;64;58;6;3;24;183;5651897854;2;6;5;5;0;28;36;12;7;42;3
70;181;169;12;26;40;531;5486851233;0;7;14;15;11;90;91;30;28;120;3
71;160;135;25;11;40;420;4533081414;2;14;11;10;7;70;90;12;25;115;8
72;21;14;7;2;1;48;4186082;1;5;3;1;0;9;12;0;1;13;7
73;55;41;14;13;29;104;5519299273;0;3;2;10;2;26;29;4;13;34;4
74;68;58;10;7;7;145;9044542785;2;1;7;3;5;32;36;5;6;53;4
75;492;411;81;95;168;1488;12844691;10;11;35;39;37;249;243;56;90;324;22
77;47;38;9;7;8;111;8926436;1;1;4;0;6;22;25;7;4;36;0
78;14;13;1;4;5;28;85152168;1;1;2;0;2;7;7;2;1;8;3
79;255;218;37;31;87;668;6679551352;6;21;33;10;1;117;138;31;53;163;8
80;66;55;11;2;13;165;11377892;3;6;5;1;1;29;37;6;15;42;3
81;313;272;41;39;90;828;7933873912;12;18;41;21;2;133;180;40;53;210;10
82;81;70;11;7;15;220;7652233855;2;7;11;4;0;35;46;14;12;53;2
83;50;44;6;6;7;126;4701404573;1;5;9;3;1;19;31;6;11;32;1
84;48;41;7;14;13;137;13993564;0;0;1;3;8;24;24;8;9;31;0
85;32;25;7;13;8;81;32641378;1;0;1;5;6;18;14;3;3;15;11
86;21;10;11;1;2;20;57263317;1;4;0;1;0;10;11;0;3;15;3
88;19;13;6;1;5;33;144147605;0;2;3;0;1;8;11;0;3;13;3
89;28;23;5;6;8;52;-99;1;2;2;0;1;13;15;2;5;20;1
90;21;19;2;2;1;58;14499127;2;1;2;3;0;13;8;4;1;16;0
