ZONA,Acc_com_A,T_sup_const,P_Avaluo_SII,P_ing_zonal,P_ing_zonal_MM,P_Edad_zonal,Densidad_hab,Densidad_par,Personas_por_zona,Hogares_por_ Zona,Paraderos_por_zona,Area_por_Zona
1,0.44,146479,83.607403,0.455833,4.55833E-07,68,0.252752969,0.674007918,13,6,16.00000001,23.73859354
2,0.455,200798,37.139734,0.334,0.000000334,37,0.801058594,0.672889219,51,25,21.00000001,31.20870333
3,0.467,224747,27.903868,0.819583,8.19583E-07,40,0.297675921,1.364347969,32,12,55,40.31229661
4,0.361,160709,53.268107,0.756923,7.56923E-07,54,0.527780452,1.21795489,34,13,29.99999999,24.63145412
5,0.437,328572,27.105057,0.814625,8.14625E-07,37,0.795983682,0.517389394,119,40,26.00000002,50.25228643
6,0.444,180620,27.777957,0.323333,3.23333E-07,45,0.430254199,0.179272583,29,12,4.999999999,27.89048897
7,0.202,466885,31.872203,0.941958,9.41958E-07,49,0.585399545,0.134154062,134,48,10.99999997,81.99528072
8,0.291,199186,17.991144,0.722973,7.22973E-07,47,1.151380431,0.18671034,105,37,5.999999993,32.13533858
9,0.256,418395,25.721924,0.975042,9.75042E-07,44,0.74833017,0.233853178,156,48,15,64.14281016
10,0.359,395710,26.161231,0.6932,6.932E-07,45,0.818829695,0.393038254,146,50,24.00000002,61.0627586
11,0.239,493024,48.42137,0.879887,8.79887E-07,43,0.647052742,0.147057441,129,44,9.999999973,68.0006391
12,0.282,1005872,21.126457,0.90915,9.0915E-07,41,0.73661624,0.235717197,329,100,32.00000003,135.7558992
13,0.31,364207,25.718911,0.536833,5.36833E-07,46,0.361294708,0.160575426,62,18,8.000000005,49.8208238
14,0.233,574314,6.647556,0.488916,4.88916E-07,40,0.807578978,0.17513761,287,83,18.00000004,102.7763256
15,0.291,298720,7.933102,0.420238,4.20238E-07,38,0.652439534,0.046602824,166,42,3.000000008,64.37378147
16,0.303,392791,9.952249,0.485521,4.85521E-07,42,0.559587338,0.384716295,183,48,32.99999999,85.7774948
17,0.392,1100632,11.086465,0.382705,3.82705E-07,42,0.292203777,0.05748271,234,61,11.99999993,208.7584238
18,0.366,316321,17.226675,0.3675,3.675E-07,38,0.365702662,0.081267258,62,18,3.999999985,49.22031435
19,0.34,324820,13.774751,0.435185,4.35185E-07,43,0.564323082,0.146305984,92,27,6.999999989,47.84493291
20,0.343,284472,15.959501,0.308485,3.08485E-07,47,0.877871952,0.212817443,110,33,8.000000005,37.5909037
21,0.356,231601,13.347298,0.333088,3.33088E-07,40,0.91190338,0.187744814,112,34,7.000000018,37.28465181
22,0.327,113295,9.779669,0.3944,3.944E-07,50,1.154279396,0.369369407,70,25,8.000000007,21.6585344
23,0.318,308202,9.235344,0.545667,5.45667E-07,35,0.770924884,0.128487481,230,60,10.00000003,77.82859426
24,0.347,417874,15.271069,0.373,0.000000373,48,0.866962451,0.220681351,174,55,14,63.43988712
25,0.327,227648,26.071676,0.72,0.00000072,38,1.132999154,0.097114213,106,35,2.999999994,30.89146173
26,0.32,234559,10.647704,0.314194,3.14194E-07,47,0.802784042,0.492028929,94,31,19,38.61561563
27,0.286,425301,13.451357,0.536557,5.36557E-07,41,0.886058084,0.213102577,269,79,18.99999997,89.15894046
28,0.45,281530,47.909191,0.525556,5.25556E-07,52,0.445118358,0.296745572,49,18,11.99999999,40.43868256
29,0.329,146826,12.668367,0.335294,3.35294E-07,43,0.787083427,0.277794151,58,17,6.000000005,21.59872691
30,0.4,121404,19.612978,0.2275,2.275E-07,47,0.772786964,0.128797827,53,18,2.999999991,23.29231836
31,0.31,162737,43.991293,0.55,0.00000055,30,0.017163943,0.051491828,2,1,3.000000005,58.26167223
32,0.206,73330,35.628616,1.305556,1.30556E-06,22,0.041726183,0.009272485,31,9,1.999999979,215.6919077
33,0.245,447246,4.874474,0.34913,3.4913E-07,41,0.996838535,0.086681612,239,69,6.000000021,69.21883295
34,0.29,288988,6.613785,0.301116,3.01116E-07,39,1.066697325,0.248069145,147,43,9.999999982,40.31134135
35,0.252,226183,4.446807,0.307375,3.07375E-07,32,0.973309926,0.06083187,190,48,2.999999981,49.31625447
36,0.343,302355,14.33533,0.820001,8.20001E-07,37,0.357477748,0.134054155,60,16,5.999999983,44.75803068
37,0.246,420164,8.005979,0.526667,5.26667E-07,36,0.976995424,0.162832571,178,48,8.000000019,49.13021989
38,0.228,233282,17.783493,0.789043,7.89043E-07,44,1.232999687,0.078702108,147,47,3.000000012,38.11842006
39,0.283,527958,35.439131,1.132121,1.13212E-06,48,0.862036401,0.313467782,196,66,23.99999999,76.56289218
40,0.291,385613,28.290425,0.948848,9.48848E-07,46,0.859221702,0.160193877,167,59,11.00000002,68.66679445
41,0.165,626129,40.786585,1.496112,1.49611E-06,38,0.443316858,0.009851486,142,45,1.000000026,101.5075316
42,0.144,561053,16.354366,0.943781,9.43781E-07,39,0.703226154,0.240126004,292,82,28.00000001,116.6054469
43,0.299,323021,10.639496,0.425526,4.25526E-07,46,0.219500449,0.011552655,63,19,0.999999983,86.56018751
44,0.254,159054,4.321111,0.393281,3.93281E-07,45,1.082482696,0.169137921,106,32,4.999999995,29.56167349
45,0.26,533299,13.588068,0.710636,7.10636E-07,45,0.303815444,0.027619586,35,11,1.000000005,36.20619097
46,0.22,548349,4.410689,0.37375,3.7375E-07,38,1.191443366,0.055848908,215,64,3.000000011,53.71635934
47,0.198,2525005,141.558577,2.000001,2E-06,32,0.01001685,0,20,4,0,399.3271436
48,0.124,556795,6.031439,0.389554,3.89554E-07,36,1.218120317,0.229151347,380,101,19.00000001,82.91463377
49,0.049,297908,7.259031,0.623,0.000000623,35,0.017704898,0.026557346,34,10,14.99999983,564.8154689
50,0.161,409849,39.833925,1.368612,1.36861E-06,27,0.074416254,0,64,18,0,241.8826389
51,0.121,960072,100.847917,1.954168,1.95417E-06,38,0.007086052,0.004724035,25,6,4.000000213,846.7338224
52,0.173,685783,4.69197,0.497868,4.97868E-07,33,0.541993273,0.039852447,243,68,5.00000006,125.4628119
53,0.243,162525,234.046946,0.165833,1.65833E-07,35,0.026527909,0,22,6,0,226.17689
54,0.267,1765603,41.332989,1.125,0.000001125,43,0,0,0,0,0,360.3643474
55,0.455,139559,37.804093,1.020625,1.02063E-06,43,0.50685257,0.368620051,19,11,7.999999996,21.70256331
56,0.227,163968,38.032857,1.113236,1.11324E-06,38,0.844430361,0.351845984,76,24,10.00000001,28.42152664
57,0.2,278629,42.979043,1.787501,1.7875E-06,32,0.294263301,0,53,17,0,57.77139024
58,0.169,282978,20.722012,0.971167,9.71167E-07,41,0.148965602,0.0248276,45,12,1.999999975,80.55550981
59,0.303,79572,31.143827,1.035167,1.03517E-06,44,0.20571045,0.171425375,13,6,4.999999995,29.16721048
60,0.268,76110,34.729604,1.3175,1.3175E-06,45,0.978304497,0.163050749,36,12,1.999999994,12.26611964
61,0.329,190300,10.724172,0.377547,3.77547E-07,36,0.770537929,0.256845976,41,12,3.999999995,15.57353577
62,0.365,303362,10.113186,0.307097,3.07097E-07,46,0.85536938,0,206,53,0,61.9615353
63,0.323,178455,9.28055,0.5996,5.996E-07,37,0.583586048,0.169428207,90,31,8.999999976,53.1198443
64,0.227,1799267,12.764987,0.491129,4.91129E-07,51,0.74651622,0.077637687,408,125,13.00000003,167.4444529
65,0.306,310301,7.307613,0.36598,3.6598E-07,36,0.703756661,0.20431645,91,31,9,44.04931664
66,0.205,289672,9.185224,0.429545,4.29545E-07,45,0.524687554,0,184,51,0,97.20070462
67,0.184,595215,5.200759,0.391667,3.91667E-07,48,0.095536083,0.208442364,36,11,24.00000004,115.1397421
68,0.278,194670,5.651898,0.397778,3.97778E-07,30,0.613213826,0.034067435,53,18,1.000000007,29.35354561
69,0.229,456765,5.486851,0.596489,5.96489E-07,25,0.134272647,0,64,18,0,134.0555981
70,0.169,318586,4.533081,0.485455,4.85455E-07,34,0.399117585,0.016983727,181,47,1.999999996,117.7597824
71,0.247,197354,4.186083,0.2785,2.785E-07,56,1.369495022,0.031124887,160,44,1.000000004,32.12863083
72,0.191,159695,5.519299,0.621765,6.21765E-07,39,0.26439238,0.052878476,21,10,1.999999999,37.82257262
73,0.27,98772,9.044543,0.541111,5.41111E-07,36,0.321508901,0,55,17,0,52.87567449
74,0.094,91479,12.844691,0.598333,5.98333E-07,31,0.0498805,0.013855694,68,18,4.999999832,360.8624607
75,0.052,1147277,8.926437,0.6525,6.525E-07,26,0.261887754,0.05356795,492,132,27.00000017,504.0327318
76,0.173,0,0,0,0,0,0,0,0,0,0,50.4302952
77,0.203,1376807,85.152169,0.489167,4.89167E-07,48,0.048576853,0.004048071,47,12,0.999999985,247.0312366
78,0.15,815936,6.679551,0.348662,3.48662E-07,31,0.003917074,0.034600822,14,6,53.00000034,1531.755527
79,0.063,672528,11.377892,0.315625,3.15625E-07,28,0.17720537,0.004991701,255,71,2.000000174,400.6650587
80,0.087,222610,7.933874,0.383883,3.83883E-07,31,0.050714168,0.006339271,66,16,1.999999982,315.4936872
81,0.055,399617,7.652234,0.35125,3.5125E-07,27,0.387474097,0.00824413,313,94,2.00000007,242.5968622
82,0.073,295131,4.701405,0.391053,3.91053E-07,29,0.050493531,0.004207794,81,24,1.999999882,475.3084115
83,0.19,30231,13.993564,0.972083,9.72083E-07,23,0.53337959,0,50,19,0,35.62191046
84,0.167,619644,32.641378,0.921154,9.21154E-07,53,0.039162056,0.006527009,48,12,1.999999916,306.4190528
85,0.232,121227,57.263318,0.253333,2.53333E-07,45,0.678239808,0,32,13,0,19.16726185
86,0.144,64557,144.147606,0.46,0.00000046,46,0.014590094,0.002431682,21,6,0.999999859,411.2379246
87,0.197,220927,-0.000099,0.528334,5.28334E-07,35,0,0,0,0,0,553.7697726
88,0.121,1171121,14.499128,0.4025,4.025E-07,22,0.009686235,0,19,6,0,619.435752
89,0.152,0,0,0,0,0,0.073618316,0,28,6,0,81.50145671
90,0.358,0,0,0,0,0,0.684317125,0.855396406,21,8,10,11.69048634
