ZONA,ACC_com_A,T_sup_const,P_Avaluo_SII,P_Ing_zonal,P_Edad_zonal,Densidad_hab,Densidad_par
1,0.608397624,199383.9501,24.35893181,0.500083046,35.48810045,0.508985252,0.674007918
2,0.640118735,389819.2842,22.27023419,0.488056508,33.93822436,1.379784174,0.672889219
3,0.639499392,501025.5182,20.16381846,0.514823326,32.30003798,1.577498815,1.364347969
4,0.491056279,280093.6932,21.79801494,0.532177163,33.63095621,1.121223198,1.21795489
5,0.606880158,502548.178,22.85936509,0.58816424,36.00524992,0.799051894,0.517389394
6,0.621950051,259687.0568,24.12542835,0.490992249,38.66374899,0.602593083,0.179272583
7,0.334737323,571060.6191,27.81130075,0.952139041,42.72839903,0.203862576,0.134154062
8,0.455675436,441120.0244,24.50469798,0.658749937,41.6327382,1.164723608,0.18671034
9,0.41775467,552051.7979,25.40676288,0.855946799,41.59100298,0.376740401,0.233853178
10,0.521357702,534677.949,23.7524089,0.623972607,37.98217423,0.510300792,0.393038254
11,0.364025211,624775.7625,30.17805568,0.881818079,40.63845834,0.316624046,0.147057441
12,0.439726175,1150363.628,23.92474443,0.804122708,40.07179155,0.234885901,0.235717197
13,0.459621727,436804.4959,25.11996922,0.561001096,38.29893867,0.271696414,0.160575426
14,0.366637586,785170.7987,21.02536721,0.557087796,40.35505009,0.318213028,0.17513761
15,0.437512291,467430.6819,23.26413858,0.535419151,40.22177644,0.410669557,0.046602824
16,0.457064758,499041.1795,20.95767425,0.557926546,38.17384268,0.271128486,0.384716295
17,0.55482909,1171577.496,20.85103772,0.47403916,38.35550583,0.087905471,0.05748271
18,0.520189836,407863.297,24.32555576,0.493648485,36.56423092,0.354376886,0.081267258
19,0.47333452,433053.937,23.51539086,0.535588855,42.4113845,0.431021019,0.146305984
20,0.484710354,443410.083,23.37199802,0.488476613,38.34216535,0.787849704,0.212817443
21,0.500797651,440616.2005,23.43335811,0.487917678,35.70357071,1.023358359,0.187744814
22,0.463553832,331620.335,22.62212777,0.504988039,37.95489933,1.824604469,0.369369407
23,0.450262196,510474.8198,22.83762522,0.537789899,36.62893183,0.469240414,0.128487481
24,0.482885991,566693.9177,22.73320234,0.531300617,40.8684582,0.48115546,0.220681351
25,0.463213041,550518.4909,25.60592001,0.539149003,34.74177529,1.611575447,0.097114213
26,0.449427672,367274.9328,21.49064783,0.482606726,38.70015251,0.712833675,0.492028929
27,0.403454829,628287.223,22.57390368,0.572756171,39.43004588,0.414703836,0.213102577
28,0.62488846,349640.9929,25.878778,0.510019244,34.91335369,0.388649083,0.296745572
29,0.460481193,300130.4397,23.29886978,0.529773271,37.45414642,1.282862849,0.277794151
30,0.557505325,251639.3098,24.07894207,0.483568577,37.6006504,1.076477376,0.128797827
31,0.430357216,235001.896,26.02170574,0.515821072,32.35955274,0.194910668,0.051491828
32,0.280643145,180164.7714,28.34404303,0.964952367,36.46006117,0.064441571,0.009272485
33,0.410119869,751573.7241,22.3562102,0.567008197,45.33614446,0.551230907,0.086681612
34,0.457329066,592846.0528,22.78645988,0.534628982,40.46912432,1.15610867,0.248069145
35,0.413540299,626198.2374,23.77683048,0.543624023,42.06654002,0.902639922,0.06083187
36,0.508522015,392205.3063,24.37924924,0.708498324,37.90204508,0.38564808,0.134054155
37,0.419668429,728749.413,23.49034222,0.61751407,42.82817306,0.820999334,0.162832571
38,0.38807921,564251.2269,25.44986416,0.77446525,45.89188796,0.929476166,0.078702108
39,0.44495714,652093.852,27.17306712,0.999753716,44.59245145,0.342916241,0.313467782
40,0.450232947,535694.4363,26.1132932,0.933078737,43.28241318,0.411454823,0.160193877
41,0.283506692,732084.1154,31.87098764,1.220738903,44.54602661,0.14498574,0.009851486
42,0.238862447,731416.5823,22.94187888,0.91002329,42.87270789,0.203343461,0.240126004
43,0.465535249,387335.8219,23.64472297,0.537557597,41.30566991,0.126991813,0.011552655
44,0.420447906,438805.3998,23.46870797,0.522202208,41.27532991,1.216955541,0.169137921
45,0.418119638,611116.9643,25.44644182,0.651163819,40.91242528,0.31615223,0.027619586
46,0.378838928,1051756.495,23.43656117,0.528521089,40.20239067,0.850687315,0.055848908
47,0.245082923,2582284.163,34.15623179,1.144467255,35.05139741,0.020019922,0
48,0.241872795,1127131.945,21.08678067,0.595260583,44.17976837,0.485379111,0.229151347
49,0.101967895,441160.2087,25.47245396,0.77303198,42.06918862,0.012706591,0.026557346
50,0.269067422,514000.1379,29.96084683,1.103776531,36.04518045,0.050703462,0
51,0.207365859,1011166.403,36.33166111,1.259332838,45.1937821,0.006652017,0.004724035
52,0.310364721,910216.4435,21.21885018,0.587008783,39.83676213,0.194056556,0.039852447
53,0.370515268,243908.1022,138.3241287,0.365888199,36.16065335,0.004418278,0
54,0.395915148,1813536.291,27.35818045,1.037135832,49.10581635,0.019663523,0
55,0.62758861,234231.2033,23.9775384,0.629738581,34.87560267,0.962776201,0.368620051
56,0.379282626,329460.523,25.90260414,0.871668792,39.90697962,0.904581238,0.351845984
57,0.334757675,367283.4336,30.50683409,1.250184847,45.33504718,0.215435015,0
58,0.2814134,365819.4289,26.8643248,0.916266796,41.97444813,0.115030621,0.0248276
59,0.468714569,136792.1807,25.9159599,0.807508819,38.54274032,0.358188375,0.171425375
60,0.422042736,227894.3136,26.57853566,1.072613841,39.65206601,1.784918491,0.163050749
61,0.503328495,377428.2657,23.60845214,0.536514969,40.53320627,2.088355086,0.256845976
62,0.50822289,470762.6233,23.16593578,0.49174982,40.66617463,0.497033968,0
63,0.454966839,312564.1486,23.1804618,0.542436072,36.2747085,0.470310249,0.169428207
64,0.323085039,1944899.93,20.61280834,0.567456925,47.48163817,0.163849349,0.077637687
65,0.428807681,487082.6435,22.9433781,0.516737789,37.88031657,0.686773613,0.20431645
66,0.357045497,431948.4607,22.31518424,0.582586455,44.8176058,0.184121861,0
67,0.294248638,654508.0384,22.84178787,0.587353496,44.44600239,0.067854982,0.208442364
68,0.444140282,408592.7977,24.88148699,0.499744719,35.93616883,0.965611811,0.034067435
69,0.346142723,583487.543,24.69983648,0.646534083,40.86517455,0.118593705,0
70,0.289539003,498089.5853,21.94272483,0.583500777,43.63175169,0.158148621,0.016983727
71,0.417613973,570562.3144,23.75297291,0.487710862,41.90039825,1.145173652,0.031124887
72,0.322881912,266704.5671,25.16557823,0.647958064,42.12813057,0.312248837,0.052878476
73,0.428554906,208190.4552,24.82564637,0.559300321,37.36132846,0.297234164,0
74,0.182550875,237040.2339,25.34921449,0.693647728,40.16624533,0.027440583,0.013855694
75,0.107500421,1397939.385,17.84730109,0.704460623,36.01326149,0.045059857,0.05356795
76,0.286935265,283842.8959,27.35239541,0.548806417,44.93858808,0.506201412,0
77,0.28216637,1436733.385,35.72247931,0.554349684,37.15783011,0.02942027,0.004048071
78,0.246014613,931213.1804,25.74335987,0.544776636,44.12819791,0.006049497,0.034600822
79,0.12796221,910071.1836,20.91321822,0.503127146,38.37726566,0.038772444,0.004991701
80,0.156307774,384180.7605,24.50247712,0.621618424,43.48570405,0.029370953,0.006339271
81,0.118024018,733780.2855,19.18220651,0.506766843,37.20214309,0.082384601,0.00824413
82,0.144838841,475867.9112,22.75231854,0.584056207,42.03845806,0.021215634,0.004207794
83,0.337512945,283446.9373,26.75102392,0.728627385,35.5836469,0.711533805,0
84,0.231875842,670522.4031,28.57131383,0.933744506,43.88601876,0.01986404,0.006527009
85,0.387434933,298373.4443,28.43246179,0.50128125,37.35775855,0.962153811,0
86,0.257123697,140598.4661,37.71094144,0.521783791,32.57658807,0.01502188,0.002431682
87,0.284574503,304733.5734,27.12595232,0.704177226,43.85473499,0.014928655,0
88,0.156612286,1345679.876,26.79239086,0.66921302,43.16728682,0.017892544,0
89,0.26940233,346026.577,26.99530025,0.482404753,38.30440359,0.344430539,0
90,0.498859455,142818.3652,20.75770097,0.490339649,43.38163865,2.657676215,0.855396406
